leftEduClass,rightEduClass,count
会考化学班1,会考政治班1,15
会考化学班1,会考物理班1,31
会考化学班1,会考生物班1,16
会考化学班1,历史班1,31
会考化学班1,地理班1,31
会考化学班1,政治班1,16
会考化学班1,生物班1,15
会考化学班1,行政班4,31
会考化学班2,会考地理班1,13
会考化学班2,会考物理班2,13
会考化学班2,历史班2,13
会考化学班2,政治班2,13
会考化学班2,生物班2,13
会考化学班2,行政班5,13
会考化学班3,会考历史班3,41
会考化学班3,会考地理班4,4
会考化学班3,会考政治班5,35
会考化学班3,会考生物班5,2
会考化学班3,地理班3,37
会考化学班3,政治班4,6
会考化学班3,物理班3,41
会考化学班3,生物班5,39
会考化学班3,行政班8,41
会考历史班1,会考地理班2,14
会考历史班1,会考政治班3,30
会考历史班1,会考生物班3,16
会考历史班1,化学班3,30
会考历史班1,地理班2,16
会考历史班1,物理班1,30
会考历史班1,生物班3,14
会考历史班1,行政班6,30
会考历史班2,会考地理班3,44
会考历史班2,会考政治班4,40
会考历史班2,会考生物班4,4
会考历史班2,化学班4,44
会考历史班2,政治班3,4
会考历史班2,物理班2,44
会考历史班2,生物班4,40
会考历史班2,行政班7,44
会考历史班3,会考地理班4,4
会考历史班3,会考政治班5,35
会考历史班3,会考生物班5,2
会考历史班3,地理班3,37
会考历史班3,政治班4,6
会考历史班3,物理班3,41
会考历史班3,生物班5,39
会考历史班3,行政班8,41
会考地理班1,会考政治班2,24
会考地理班1,会考物理班2,40
会考地理班1,会考生物班2,3
会考地理班1,化学班2,27
会考地理班1,历史班2,40
会考地理班1,政治班2,16
会考地理班1,生物班2,37
会考地理班1,行政班5,40
会考地理班2,会考政治班3,14
会考地理班2,化学班3,14
会考地理班2,物理班1,14
会考地理班2,生物班3,14
会考地理班2,行政班6,14
会考地理班3,会考政治班4,40
会考地理班3,会考生物班4,4
会考地理班3,化学班4,44
会考地理班3,政治班3,4
会考地理班3,物理班2,44
会考地理班3,生物班4,40
会考地理班3,行政班7,44
会考地理班4,政治班4,4
会考地理班4,物理班3,4
会考地理班4,生物班5,4
会考地理班4,行政班8,4
会考政治班1,会考物理班1,18
会考政治班1,会考生物班1,3
会考政治班1,化学班1,3
会考政治班1,历史班1,18
会考政治班1,地理班1,18
会考政治班1,生物班1,15
会考政治班1,行政班4,18
会考政治班2,会考物理班2,24
会考政治班2,化学班2,24
会考政治班2,历史班2,24
会考政治班2,生物班2,24
会考政治班2,行政班5,24
会考政治班3,会考生物班3,16
会考政治班3,化学班3,30
会考政治班3,地理班2,16
会考政治班3,物理班1,30
会考政治班3,生物班3,14
会考政治班3,行政班6,30
会考政治班4,化学班4,40
会考政治班4,物理班2,40
会考政治班4,生物班4,40
会考政治班4,行政班7,40
会考政治班5,地理班3,35
会考政治班5,物理班3,35
会考政治班5,生物班5,35
会考政治班5,行政班8,35
会考物理班1,会考生物班1,19
会考物理班1,化学班1,3
会考物理班1,历史班1,34
会考物理班1,地理班1,34
会考物理班1,政治班1,16
会考物理班1,生物班1,15
会考物理班1,行政班4,34
会考物理班2,会考生物班2,3
会考物理班2,化学班2,27
会考物理班2,历史班2,40
会考物理班2,政治班2,16
会考物理班2,生物班2,37
会考物理班2,行政班5,40
会考生物班1,化学班1,3
会考生物班1,历史班1,19
会考生物班1,地理班1,19
会考生物班1,政治班1,16
会考生物班1,行政班4,19
会考生物班2,化学班2,3
会考生物班2,历史班2,3
会考生物班2,政治班2,3
会考生物班2,行政班5,3
会考生物班3,化学班3,16
会考生物班3,地理班2,16
会考生物班3,物理班1,16
会考生物班3,行政班6,16
会考生物班4,化学班4,4
会考生物班4,政治班3,4
会考生物班4,物理班2,4
会考生物班4,行政班7,4
会考生物班5,地理班3,2
会考生物班5,政治班4,2
会考生物班5,物理班3,2
会考生物班5,行政班8,2
化学班1,历史班1,3
化学班1,地理班1,3
化学班1,行政班4,3
化学班2,历史班2,27
化学班2,政治班2,3
化学班2,生物班2,24
化学班2,行政班5,27
化学班3,地理班2,16
化学班3,物理班1,30
化学班3,生物班3,14
化学班3,行政班6,30
化学班4,政治班3,4
化学班4,物理班2,44
化学班4,生物班4,40
化学班4,行政班7,44
历史班1,地理班1,34
历史班1,政治班1,16
历史班1,生物班1,15
历史班1,行政班4,34
历史班2,政治班2,16
历史班2,生物班2,37
历史班2,行政班5,40
地理班1,政治班1,16
地理班1,生物班1,15
地理班1,行政班4,34
地理班2,物理班1,16
地理班2,行政班6,16
地理班3,政治班4,2
地理班3,物理班3,37
地理班3,生物班5,35
地理班3,行政班8,37
政治班1,行政班4,16
政治班2,生物班2,13
政治班2,行政班5,16
政治班3,物理班2,4
政治班3,行政班7,4
政治班4,物理班3,6
政治班4,生物班5,4
政治班4,行政班8,6
物理班1,生物班3,14
物理班1,行政班6,30
物理班2,生物班4,40
物理班2,行政班7,44
物理班3,生物班5,39
物理班3,行政班8,41
生物班1,行政班4,15
生物班2,行政班5,37
生物班3,行政班6,14
生物班4,行政班7,40
生物班5,行政班8,39
